X,Y
14062.914007456686,-1457.7727408474839
11145.400542296416,2217.7349228829676
19611.96269542167,-7537.025125033177
11015.359207713513,11239.257861758615
11321.57810676449,1521.295936395785
11766.756452295316,7945.25601211086
12932.264145604324,5063.490703434175
11203.970210056528,5239.309378154567
15373.612519213648,2131.247938349289
12219.31255789946,-1890.1968137195306
13908.468273826033,-6335.769171123816
14491.682641429423,-4567.633510940228
15965.20628579402,3268.4423867333903
16588.7524777866,9360.005890103599
13892.875959670504,5803.061367408717
15947.177090359706,3338.5472544055574
14082.621387934638,10006.973355534054
15305.979442917747,866.3897605091059
13777.294994227292,4787.637480582343
16641.51910471867,4230.247057000487
14073.302459012017,3604.800038523421
16467.500490805138,288.1159078629892
15977.684128529932,6987.660555037471
16133.129821174223,721.5556938869859
15275.958180380703,-5319.034903020542
16899.480883181142,757.1833374803629
14423.633758243544,6132.102461250556
14940.015505799236,3405.523622224444
15029.401062485587,3411.1304535522827
14257.90425445585,3538.604768798929
18528.194645363674,-1987.8586734479036
13049.474054719085,14002.108266829584
15681.182712423528,11531.004872923264
14760.317078939746,1379.0003299786372
15314.041261426019,12340.825251803126
15055.196543564378,-5057.032001332963
14109.512802529312,4412.189527083791
17090.29048467223,2196.3872953400282
16196.49202566189,10005.731132184816
16036.740399153372,1652.749144153706
14580.593555323861,5710.799981788587
11451.371270848793,1482.6013238471699
15809.949556123125,-3923.269231322653
11366.593500707762,1008.2169558954295
14731.268271927496,-757.3007419004712
14093.00122965127,42.307891326642924
16031.267139319518,3211.4190273254226
14151.192699988198,-6035.572171829362
16231.950335822637,16659.04391834354
12001.16540687799,6925.313346016521
16746.25975531578,9057.394542817656
17091.556442174984,-895.8353988795608
16299.27095890793,1525.8813817036366
12988.058734282757,-5009.165162102556
14275.512487161335,938.9226181790573
15711.541961279201,9239.656358382435
15298.223221966451,-7090.198798201688
14264.298462979817,2948.1209927077066
18701.871708521754,-6635.222995999196
12034.422495293667,-1817.6497606261225
13313.360439485608,6024.133200004364
16893.07654773872,-328.1164717770639
14504.809909104326,-4828.608136292119
13713.674022997122,-955.8052254501952
17741.472751822723,10642.654073157843
11457.157581332565,11357.959839578483
13254.766238668946,1737.9404958420803
12367.67017664692,13762.115344577147
14463.486658442176,1633.4031585469181
13946.476388544337,5968.134429390466
12613.114677239062,9057.658165869843
17759.68782551421,747.983439221289
12755.156654294926,-10098.192529445247
14288.181482377922,1024.109687465421
16916.916475316408,4478.834828716965
16168.791846401278,-4940.056833551933
14157.659994783287,11527.217150957385
14519.408065948923,2013.78546798646
12948.907294462328,11898.618309613337
17116.786694609127,4159.354341018973
11798.623442612152,15344.796021317788
18609.268536534953,9361.81801846769
19553.13013493196,9671.325658599306
12698.101634364475,-83.6652243878182
